label_num,Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14
0,-0.031489071703366636,-0.0033231750011673065,-0.07123817912328387,0.04774325014933845,0.060798241957652176,0.04659705956569598,-0.06952995434360933,-3.128027709410819e-05,-0.03792358739040331,0.024059177433525265,-0.015084888118985604,-0.007751942050216719,-0.021617351791987944,-0.025395388740616004,0.04605022375194159
0,-0.12260072077849493,0.11417640264005512,0.4604509298944519,0.0009527612244198114,0.014706588776053112,0.007609971857465912,-0.0111727288709836,-0.05247845287493665,0.040209351578745604,7.551698443857746e-05,0.010305742801324572,0.023397030765889032,-0.007293980115144642,0.06354258781469924,0.0811187791587759
0,-0.07668096205560353,-0.08433014669854917,-0.054658040618293345,-0.04823629305003115,-0.019999287293512785,-0.045909379008579373,-0.004712051273263421,-0.0015242424271869888,0.01373514049848904,-0.02242872237419504,0.01027312634301197,-0.007457678453835463,-0.04434005801399021,-0.05109330591388661,0.025552989140238777
1,-0.0759482957668024,-0.05970618259745649,-0.0253012062328642,-0.03760251632130439,-0.0012076081122423046,-0.0306603175365444,0.018872770621742224,-0.013434034316000806,-0.01498118917763415,0.000741482595505943,0.005653272434551397,0.03215335086806815,0.0018837397593798534,-0.018005067488878458,-0.011059514349936
0,-0.05467996197012289,0.03303272263823631,-0.09088497373151878,-0.047280208706048765,-0.029304098644081754,0.08589293388109513,-0.1053507289749591,-0.0539146895745407,-0.006856852168931549,0.02167315508136878,0.05671764101527499,0.0061399906622064005,0.04221701629485808,0.018862239818808704,-0.007373220135414904
0,-0.07461423177140805,-0.050697033684277255,-0.03395519237427269,-0.028982727916431455,-0.017980410387657946,-0.039786062570382974,0.026627499720397275,0.021334345120503962,0.01442092546902169,0.005097860210072212,-0.006339159450753553,-0.005371294418333337,0.032219735567557126,0.012090414889249675,-0.000283699963195398
0,-0.07939751275204136,-0.061972685518609065,-0.03907019097235912,-0.034432773996835066,-0.027474515219256555,-0.04886350962062237,0.0244683495600567,-0.008416837432194223,0.003520482306898623,0.01700275928902831,-0.014269990776018118,-0.04048468596311176,0.018071208237608785,0.0018148894591295507,-0.014453940004283461
1,-0.08890111854495611,-0.07996329518877177,-0.03453272970387405,-0.06154203923103982,-0.018900460023019275,-0.06642567280031876,0.026696412885240356,-0.014246138800238596,-0.019256669373951908,0.007483685382220926,-0.001649913742997262,0.007059028760661838,0.01554803647779182,-0.04935093846107526,-0.04188780833055702
0,-0.031033212109678368,0.11404855634145084,0.0007106109982019126,0.6090342481611406,-0.3415766067423887,-0.2731600045883814,-0.06293585838627669,-0.18296377175076695,-0.1168923097884968,-0.05794721700952404,0.08782728241534986,0.023869125329560544,-0.017620793388498333,-0.0487847603609556,0.0318595504422339
0,-0.10809894602068486,0.03182698314854228,0.33376842812585134,-0.03897904633217071,0.03443624055672292,0.010201503837009613,0.024547603167380593,0.05681007460676395,-0.08980203444821858,-0.051506968641407164,0.035047434109775344,-0.0006277838520777566,-0.001097646512322695,-0.0699113655420896,0.3180017556395781
